items,domestic,international
http://www.wikidata.org/entity/Q388873,107979,229806
http://www.wikidata.org/entity/Q16303548,12602918,55000000
http://www.wikidata.org/entity/Q388934,271000,0
http://www.wikidata.org/entity/Q1254088,60052235,183300000
http://www.wikidata.org/entity/Q105807115,2000000,17000000
http://www.wikidata.org/entity/Q115867383,100000,5000000
http://www.wikidata.org/entity/Q21527446,259377,2000000
http://www.wikidata.org/entity/Q846209,10500000,0
http://www.wikidata.org/entity/Q4690535,68329,0
http://www.wikidata.org/entity/Q109313048,0,1000000
http://www.wikidata.org/entity/Q4690774,174429,0
http://www.wikidata.org/entity/Q15104172,647244,100010000
http://www.wikidata.org/entity/Q111668106,1049640,1660000
http://www.wikidata.org/entity/Q19999929,16070,47294
http://www.wikidata.org/entity/Q55603322,171019,1570000
http://www.wikidata.org/entity/Q4690579,76913,0
http://www.wikidata.org/entity/Q105807015,2700000,19900000
http://www.wikidata.org/entity/Q63398229,75000,100000
http://www.wikidata.org/entity/Q253566,25700000,0
http://www.wikidata.org/entity/Q542430,780000,1000000
http://www.wikidata.org/entity/Q27964497,1658961,735000
http://www.wikidata.org/entity/Q17061299,535903,0
http://www.wikidata.org/entity/Q23562778,20478,0
http://www.wikidata.org/entity/Q265984,134179,0
http://www.wikidata.org/entity/Q394816,19800000,0
http://www.wikidata.org/entity/Q72276,67349198,237304594
http://www.wikidata.org/entity/Q300423,228278,0
http://www.wikidata.org/entity/Q109284181,2200000,1000000
http://www.wikidata.org/entity/Q1537544,208393,10800000
http://www.wikidata.org/entity/Q912877,7427937,26777344
http://www.wikidata.org/entity/Q1540260,517152,2000000
http://www.wikidata.org/entity/Q1446927,165294,0
http://www.wikidata.org/entity/Q47064337,45096,0
http://www.wikidata.org/entity/Q913311,12000000,8000000
http://www.wikidata.org/entity/Q3178409,40040620,19800000
http://www.wikidata.org/entity/Q14906074,17300000,8000000
http://www.wikidata.org/entity/Q114589148,38000000,68000000
http://www.wikidata.org/entity/Q27555348,1735946,1870000
http://www.wikidata.org/entity/Q300439,31514501,60734221
http://www.wikidata.org/entity/Q16251439,4210741,6220000
http://www.wikidata.org/entity/Q954703,1049774,0
http://www.wikidata.org/entity/Q4315208,10216600,0
http://www.wikidata.org/entity/Q15491127,0,1000000
http://www.wikidata.org/entity/Q29600,123000,1000000
http://www.wikidata.org/entity/Q2828123,395379,0
http://www.wikidata.org/entity/Q115625646,52500000,36000000
http://www.wikidata.org/entity/Q406785,31479391,0
http://www.wikidata.org/entity/Q406916,24000000,0
http://www.wikidata.org/entity/Q407184,173922425,142200000
http://www.wikidata.org/entity/Q4698007,117324,0
http://www.wikidata.org/entity/Q497256,83453539,0
http://www.wikidata.org/entity/Q1346658,30000000,20000000
http://www.wikidata.org/entity/Q409022,100489151,59000000
http://www.wikidata.org/entity/Q392924,25000000,47000000
http://www.wikidata.org/entity/Q3700510,487442,104318
http://www.wikidata.org/entity/Q323930,361,1010000
http://www.wikidata.org/entity/Q2421176,31947,0
http://www.wikidata.org/entity/Q105560268,6240000,0
http://www.wikidata.org/entity/Q2529557,19000000,1000000
http://www.wikidata.org/entity/Q947262,13400000,0
http://www.wikidata.org/entity/Q32942013,20548,0
http://www.wikidata.org/entity/Q23755554,10000,0
http://www.wikidata.org/entity/Q114076,56056969,60600000
http://www.wikidata.org/entity/Q27188178,217350219,286700000
http://www.wikidata.org/entity/Q2830457,500000,0
